                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.00443,                0.57847,                0.88511,                0.00493,                0.63397,                0.90514,                0.84738,                0.87147,                0.92458,                 0.7624,                0.00408,                 0.5213,                0.84555,                0.00427,                0.66142,                0.84229,               0.005446,               0.005446,               0.005446
                     26,                0.00445,                0.57602,                0.89153,                0.00493,                0.61454,                0.91469,                0.85435,                0.94475,                 0.9534,                0.79578,                0.00395,                0.52208,                0.83253,                 0.0043,                 0.6261,                0.82562,               0.005248,               0.005248,               0.005248
                     27,                0.00423,                0.55514,                0.88174,                0.00485,                0.58459,                0.90112,                0.86062,                 0.9092,                0.95054,                 0.8194,                0.00379,                0.49475,                 0.8421,                0.00395,                 0.6108,                0.84658,                0.00505,                0.00505,                0.00505
                     28,                0.00424,                0.56095,                0.88584,                0.00477,                0.61293,                0.90566,                0.92331,                0.78487,                0.93574,                 0.7845,                0.00393,                0.49236,                0.84223,                0.00413,                0.60658,                0.84431,               0.004852,               0.004852,               0.004852
                     29,                 0.0041,                0.53546,                0.87813,                0.00464,                0.58485,                0.90094,                0.85098,                0.91141,                0.94966,                0.81783,                0.00383,                0.48031,                0.83722,                0.00395,                 0.5491,                0.85784,               0.004654,               0.004654,               0.004654
                     30,                0.00405,                0.53177,                0.87519,                 0.0045,                0.56589,                0.89077,                0.89154,                0.83816,                0.94838,                0.81631,                0.00378,                0.47902,                0.83343,                0.00391,                0.55553,                0.82569,               0.004456,               0.004456,               0.004456
                     31,                0.00398,                0.51695,                0.87017,                0.00453,                0.54564,                0.89326,                0.83446,                0.88628,                0.92239,                0.80958,                 0.0037,                0.47241,                0.82467,                0.00393,                0.56136,                0.83123,               0.004258,               0.004258,               0.004258
                     32,                0.00406,                 0.5154,                0.87429,                 0.0046,                0.53137,                0.89326,                0.92593,                0.89977,                 0.9674,                0.83499,                0.00383,                0.46047,                0.83229,                0.00412,                0.46527,                0.82949,                0.00406,                0.00406,                0.00406
                     33,                0.00402,                0.51019,                0.87308,                0.00457,                0.52988,                0.89588,                0.91755,                0.89256,                0.96461,                0.81955,                0.00371,                0.47739,                0.82284,                 0.0041,                0.48923,                0.81991,               0.003862,               0.003862,               0.003862
                     34,                0.00386,                0.49977,                0.86732,                0.00436,                0.50734,                0.88936,                0.84799,                0.92585,                0.95136,                0.81597,                0.00375,                0.46712,                0.82714,                0.00417,                 0.5658,                0.82568,               0.003664,               0.003664,               0.003664
