                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00417,                0.52913,                0.87972,                0.00473,                0.51976,                0.89894,                      1,                0.91788,                0.98384,                0.87815,                0.00338,                0.50246,                0.82877,                0.00351,                0.43182,                0.84105,                0.07075,                0.00325,                0.00325
                      2,                0.00439,                0.55277,                0.88059,                0.00502,                 0.5482,                0.90531,                0.89129,                0.98684,                0.98438,                0.86853,                  0.003,                0.56755,                0.82035,                0.00354,                0.49022,                 0.8469,                0.04062,               0.006453,               0.006453
                      3,                0.00502,                0.64542,                0.90314,                0.00553,                0.61018,                0.92747,                0.94026,                0.97368,                  0.987,                0.86565,                 0.0036,                0.55256,                0.83833,                 0.0035,                0.55895,                0.84344,               0.010357,               0.009524,               0.009524
                      4,                0.00447,                  0.563,                0.88879,                0.00505,                0.73798,                0.91164,                0.91329,                0.98684,                0.98255,                0.86657,                 0.0033,                0.53312,                0.82942,                0.00344,                0.66962,                0.84231,               0.009406,               0.009406,               0.009406
                      5,                0.00449,                 0.5664,                0.88647,                0.00519,                0.69969,                0.90996,                 0.8941,                0.88873,                0.94583,                0.82696,                0.00414,                0.68585,                 0.8566,                0.00405,                0.66617,                0.84957,               0.009406,               0.009406,               0.009406
                      6,                0.00466,                0.71367,                0.88206,                0.00502,                0.57939,                0.89372,                0.87866,                0.95281,                 0.9668,                0.83483,                0.00373,                0.70771,                0.84086,                0.00387,                 0.6315,                0.85446,               0.009208,               0.009208,               0.009208
                      7,                0.00465,                 0.6292,                0.89789,                0.00514,                0.66464,                0.91204,                0.96807,                0.85526,                0.97065,                0.83294,                0.00372,                0.65687,                0.84658,                0.00418,                0.82171,                 0.8548,                0.00901,                0.00901,                0.00901
                      8,                0.00475,                0.60599,                0.89118,                 0.0053,                0.69067,                0.90646,                0.80853,                0.93421,                0.92673,                0.81107,                0.00367,                0.66793,                0.83775,                0.00399,                  1.074,                0.84541,               0.008812,               0.008812,               0.008812
                      9,                0.00542,                0.63646,                0.89305,                0.00603,                 0.6284,                0.92362,                0.85085,                 0.9008,                0.94661,                0.81663,                0.00398,                0.63372,                0.84442,                0.00399,                0.75316,                 0.8514,               0.008614,               0.008614,               0.008614
                     10,                0.00449,                0.65164,                0.87761,                0.00483,                 0.5225,                0.89722,                0.93299,                0.91607,                0.97611,                0.84253,                0.00365,                0.78694,                0.83744,                0.00406,                0.63422,                0.86316,               0.008416,               0.008416,               0.008416
                     11,                0.00447,                0.57079,                 0.8692,                0.00511,                0.51623,                0.88974,                0.84048,                0.97368,                0.97035,                0.83275,                0.00367,                0.62717,                0.83415,                0.00391,                0.72981,                0.85846,               0.008218,               0.008218,               0.008218
                     12,                0.00557,                0.58263,                0.91307,                0.00629,                  0.578,                0.95033,                0.86798,                0.95159,                0.97121,                0.79426,                0.00398,                0.62167,                0.84892,                 0.0049,                0.52734,                0.90015,                0.00802,                0.00802,                0.00802
                     13,                0.00513,                0.55683,                0.89131,                0.00578,                0.51832,                0.92139,                0.94357,                0.90789,                0.97968,                0.76457,                0.00462,                0.69919,                0.87378,                0.00569,                 0.6566,                0.93761,               0.007822,               0.007822,               0.007822
                     14,                0.00468,                0.53897,                0.88676,                0.00553,                0.52482,                0.92406,                 0.8898,                0.95625,                0.97726,                0.85646,                0.00329,                0.56227,                0.82524,                0.00376,                0.69813,                0.84114,               0.007624,               0.007624,               0.007624
                     15,                0.00431,                0.51902,                0.87296,                  0.005,                0.54934,                0.88809,                 0.9463,                0.92753,                0.97258,                0.85858,                0.00324,                0.58508,                0.82436,                0.00379,                0.56536,                0.84214,               0.007426,               0.007426,               0.007426
                     16,                 0.0044,                0.51806,                0.88106,                0.00503,                0.49926,                0.90552,                0.98878,                0.88158,                0.98047,                0.84218,                0.00361,                0.57039,                0.83745,                0.00441,                0.47489,                0.86167,               0.007228,               0.007228,               0.007228
                     17,                0.00484,                0.56822,                0.89833,                0.00536,                0.50635,                0.91711,                0.91251,                0.93421,                0.97722,                0.87526,                0.00335,                0.57333,                 0.8292,                 0.0037,                0.65897,                0.84656,                0.00703,                0.00703,                0.00703
                     18,                0.00447,                0.52797,                 0.8747,                0.00479,                0.46733,                0.87968,                0.89107,                0.94737,                0.97298,                0.85963,                0.00354,                0.57325,                0.83362,                0.00365,                0.62612,                  0.848,               0.006832,               0.006832,               0.006832
                     19,                 0.0042,                0.52244,                0.87654,                0.00476,                0.50666,                 0.8878,                0.97043,                0.94737,                0.98945,                0.86412,                0.00338,                0.52262,                0.83168,                0.00367,                0.50336,                0.84345,               0.006634,               0.006634,               0.006634
                     20,                0.00452,                0.50364,                0.88534,                0.00499,                0.46732,                0.89944,                0.92302,                0.94665,                0.97988,                0.87255,                0.00341,                0.53921,                0.82529,                0.00362,                0.48915,                0.84162,               0.006436,               0.006436,               0.006436
                     21,                0.00418,                0.52482,                0.86496,                0.00463,                0.40893,                0.87664,                0.87719,                0.93988,                0.97347,                0.84332,                0.00328,                0.54785,                 0.8294,                0.00382,                 0.6934,                0.85314,               0.006238,               0.006238,               0.006238
                     22,                0.00426,                0.51152,                0.88013,                0.00482,                0.47609,                0.90544,                0.94592,                0.92065,                0.97551,                0.88474,                0.00279,                0.48588,                0.81009,                0.00315,                0.61655,                0.82501,                0.00604,                0.00604,                0.00604
                     23,                  0.004,                0.47798,                0.87619,                0.00461,                0.42861,                0.89736,                0.96609,                0.93421,                0.98037,                0.87363,                0.00308,                0.53569,                0.82348,                0.00339,                 0.4737,                0.85002,               0.005842,               0.005842,               0.005842
                     24,                0.00412,                0.48688,                0.85847,                0.00456,                0.39795,                0.87458,                0.96548,                0.92105,                0.98242,                0.88915,                0.00325,                0.53343,                 0.8317,                0.00322,                0.46323,                0.83377,               0.005644,               0.005644,               0.005644
                     25,                0.00422,                0.49824,                0.87231,                0.00473,                0.43315,                0.88929,                0.97161,                0.90083,                0.98122,                0.88165,                0.00308,                0.55978,                0.81844,                0.00347,                0.52357,                0.83625,               0.005446,               0.005446,               0.005446
                     26,                0.00379,                0.45564,                0.84362,                0.00435,                  0.376,                0.85768,                0.97105,                0.88266,                0.98147,                  0.878,                0.00309,                0.50478,                0.82088,                0.00342,                0.48618,                 0.8308,               0.005248,               0.005248,               0.005248
                     27,                0.00384,                0.44373,                0.85113,                0.00442,                0.40047,                0.87162,                0.89054,                0.96347,                0.98187,                0.89118,                0.00282,                0.49267,                0.81379,                0.00307,                0.51406,                0.82089,                0.00505,                0.00505,                0.00505
                     28,                0.00404,                0.45553,                0.86137,                0.00475,                0.40877,                0.88309,                0.97267,                0.93646,                0.98894,                 0.8993,                0.00305,                0.50737,                0.81831,                0.00303,                 0.4244,                0.82716,               0.004852,               0.004852,               0.004852
                     29,                 0.0037,                0.43666,                0.85921,                0.00436,                0.42564,                0.87996,                0.97161,                0.97368,                0.98922,                0.86126,                0.00347,                0.50156,                0.82985,                0.00403,                0.43827,                0.85087,               0.004654,               0.004654,               0.004654
                     30,                0.00383,                0.45379,                 0.8684,                0.00454,                0.40626,                0.89244,                0.94549,                0.96053,                0.98766,                0.85909,                0.00372,                0.54642,                0.84026,                0.00422,                0.56973,                0.86111,               0.004456,               0.004456,               0.004456
                     31,                0.00379,                 0.4406,                0.85929,                0.00448,                0.41986,                0.88793,                0.97352,                0.96756,                 0.9917,                0.86954,                0.00318,                0.49331,                0.81991,                0.00375,                0.43916,                0.84454,               0.004258,               0.004258,               0.004258
