                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00543,                 2.3508,                0.97509,                0.00549,                 4.2007,                 0.9322,                0.00358,                0.42697,                0.16715,                0.08157,                0.00495,                 3.3023,                0.91925,                 0.0048,                 4.0547,                0.91122,                0.07075,                0.00325,                0.00325
                      2,                0.00653,                  1.319,                  1.069,                0.00608,                 2.5468,                0.99049,                0.83805,                0.08248,                0.17665,                0.13983,                 0.0066,                 2.9911,                 1.0529,                0.00612,                 3.4309,                0.99983,                0.04062,               0.006453,               0.006453
                      3,                0.00683,                 1.2738,                0.99932,                0.00621,                 2.4895,                0.94173,                 0.7934,                0.30832,                0.30778,                0.23829,                0.00777,                 1.6932,                 1.1749,                0.00805,                 2.6496,                 1.1828,               0.010357,               0.009524,               0.009524
                      4,                0.00604,                 1.3406,                0.94873,                0.00589,                 2.4012,                0.91749,                0.88743,                0.32895,                0.41016,                0.34122,                0.00621,                 1.6101,                 1.0635,                0.00698,                 2.3169,                  1.123,               0.009406,               0.009406,               0.009406
                      5,                0.00651,                  1.149,                0.96421,                0.00646,                 2.0159,                0.92803,                0.85427,                0.31579,                0.38793,                 0.2728,                0.00927,                 1.8049,                 1.2632,                0.00879,                 2.4625,                 1.2151,               0.009406,               0.009406,               0.009406
                      6,                0.00597,                 1.0987,                0.91931,                0.00604,                 1.9522,                0.90766,                0.78827,                0.40132,                0.39916,                 0.3401,                0.00608,                 1.3845,                 1.1182,                0.00661,                  2.304,                 1.1398,               0.009208,               0.009208,               0.009208
                      7,                0.00546,                 1.0945,                0.91947,                0.00603,                  1.663,                0.91464,                0.88264,                0.42901,                0.44132,                  0.366,                 0.0068,                 1.4193,                 1.1762,                 0.0078,                 1.9922,                  1.251,                0.00901,                0.00901,                0.00901
                      8,                0.00491,                 0.9934,                0.88367,                0.00543,                 1.6705,                0.88461,                0.90202,                0.40495,                0.44776,                0.38775,                0.00611,                 1.3764,                 1.1343,                0.00669,                 1.9984,                 1.2017,               0.008812,               0.008812,               0.008812
                      9,                0.00482,                0.91212,                0.86266,                0.00562,                 1.5967,                0.86721,                0.91992,                0.43421,                 0.4594,                0.38426,                0.00599,                 1.3054,                 1.0806,                0.00694,                 2.5025,                 1.1584,               0.008614,               0.008614,               0.008614
                     10,                0.00452,                0.81812,                0.87087,                0.00509,                 1.4508,                0.87329,                 0.8806,                0.44079,                0.45396,                0.38844,                0.00587,                 1.3691,                 1.0734,                0.00624,                 2.4802,                 1.1388,               0.008416,               0.008416,               0.008416
                     11,                0.00468,                0.86097,                0.85594,                0.00536,                  1.491,                0.85809,                0.94966,                0.41138,                0.45546,                0.38627,                0.00606,                  1.279,                 1.0992,                0.00734,                 1.8374,                 1.1528,               0.008218,               0.008218,               0.008218
