                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00647,                0.99439,                 1.0516,                0.00745,                 1.4538,                 1.1293,                0.92052,                0.86761,                0.95386,                 0.7644,                0.00491,                0.56992,                0.93889,                0.00524,                0.67037,                 0.9813,               0.070667,              0.0032593,              0.0032593
                      2,                0.00549,                0.56327,                 0.9849,                0.00614,                0.63547,                  1.039,                0.92296,                0.91873,                0.97021,                0.80926,                0.00434,                0.44162,                0.89251,                0.00451,                0.42391,                0.90833,               0.040634,                0.00656,                0.00656
                      3,                0.00595,                  0.555,                  1.003,                0.00669,                0.55788,                  1.045,                0.87887,                0.95395,                0.97062,                0.74521,                0.00612,                0.52172,                 1.0046,                0.00625,                0.45246,                 1.0182,               0.010568,              0.0098277,              0.0098277
                      4,                0.00554,                0.55904,                0.97186,                0.00609,                0.56385,                0.99948,                0.95808,                0.95337,                0.98505,                0.82061,                0.00454,                0.48101,                0.92024,                0.00464,                0.39792,                0.92526,              0.0098515,              0.0098515,              0.0098515
                      5,                 0.0057,                0.55157,                0.98633,                0.00623,                0.53772,                 1.0287,                0.92267,                 0.8894,                0.97291,                0.78646,                0.00505,                0.51366,                0.93785,                0.00517,                0.43686,                0.94552,              0.0098515,              0.0098515,              0.0098515
                      6,                0.00508,                0.52573,                0.94588,                0.00567,                0.53417,                0.98198,                0.85745,                0.92895,                0.97583,                0.81284,                0.00446,                0.45834,                   0.92,                0.00455,                0.46945,                0.91526,               0.009802,               0.009802,               0.009802
                      7,                0.00542,                0.51358,                0.96521,                0.00605,                0.49479,                 1.0006,                0.89695,                0.89468,                0.96572,                0.70978,                0.00656,                0.55506,                  1.041,                0.00649,                0.50412,                 1.0296,              0.0097525,              0.0097525,              0.0097525
                      8,                0.00522,                0.53277,                0.95872,                0.00591,                0.52996,                 1.0078,                0.93965,                0.91583,                0.97014,                0.80109,                0.00435,                0.44725,                0.90269,                0.00465,                0.43678,                0.92658,               0.009703,               0.009703,               0.009703
                      9,                0.00501,                0.51262,                0.92879,                0.00549,                0.46987,                0.95947,                0.96923,                0.97186,                0.98291,                0.82666,                0.00456,                0.48247,                0.91412,                0.00448,                0.32989,                 0.9039,              0.0096535,              0.0096535,              0.0096535
                     10,                0.00535,                0.53746,                0.96337,                0.00527,                0.43681,                0.97589,                0.91402,                0.95836,                0.97623,                0.83578,                0.00421,                0.44476,                0.89743,                0.00418,                 0.3447,                0.89083,               0.009604,               0.009604,               0.009604
                     11,                0.00508,                0.48684,                0.94715,                0.00577,                0.44337,                0.97578,                0.92439,                0.94276,                0.98393,                0.79146,                0.00459,                0.42747,                 0.9214,                0.00519,                0.35688,                0.95034,              0.0095545,              0.0095545,              0.0095545
                     12,                0.00492,                0.47545,                0.93942,                0.00561,                0.43994,                0.96952,                0.94715,                0.94232,                0.98313,                0.82427,                 0.0042,                0.41974,                0.89683,                0.00452,                 0.3465,                0.91935,               0.009505,               0.009505,               0.009505
                     13,                0.00459,                0.46161,                0.91314,                0.00531,                0.42935,                0.94613,                0.92661,                  0.955,                0.98243,                0.83563,                0.00393,                0.39936,                0.88779,                0.00416,                0.36331,                0.89184,              0.0094555,              0.0094555,              0.0094555
